id,repo_id,name,is_active_worktree,last_committed_at,created_at
c18009f9577e,3640305057ca,feature/llm-integration,1,2026-05-25 00:18:44 -0300,2026-05-26T16:24:01.609968
f806d6456820,ccf5ea13fb3e,main,1,2026-05-13 19:09:31 +0200,2026-05-26T16:24:01.752861
aa3c1e5ca854,1228a83b6d2a,master,1,2026-05-19 08:02:54 +0000,2026-05-26T16:24:01.910270
0679a12e865d,fcd8c88d2134,main,1,2026-05-28 06:51:47 -0300,2026-05-28T06:51:47.836252
40ed411ee321,b8ff2fa23f03,main,1,2026-05-28 06:51:48 -0300,2026-05-28T06:51:48.101848
a67921bc121b,9438be39f3b8,main,1,2026-05-28 06:51:48 -0300,2026-05-28T06:51:48.367337
3f22ca08f6b8,5bed4ac554ab,main,1,2026-05-28 06:51:48 -0300,2026-05-28T06:51:48.692184
d744d6fb3f7f,3a9155ac2b1a,main,1,2026-05-28 06:51:48 -0300,2026-05-28T06:51:49.094346
47943fdd50e3,fbee3b49c97c,main,1,2026-05-28 14:06:30 -0300,2026-05-28T14:06:30.685899
806a14cf8913,b9ea3a586947,main,1,2026-05-28 14:06:30 -0300,2026-05-28T14:06:30.939326
a11be1df7063,0a7090dc6024,main,1,2026-05-28 14:06:31 -0300,2026-05-28T14:06:31.197714
12136d88efe8,9c6d897b8776,main,1,2026-05-28 14:06:31 -0300,2026-05-28T14:06:31.520164
00fb63811e8d,a4b7f503d566,main,1,2026-05-28 14:06:31 -0300,2026-05-28T14:06:31.843909
24a4831507a1,bff998b2a724,main,1,2026-05-28 15:36:48 -0300,2026-05-28T15:36:48.216224
15f5111770d2,9449d8f7ff82,main,1,2026-05-28 15:36:48 -0300,2026-05-28T15:36:48.466375
8ec543460347,5a1972286dfd,main,1,2026-05-28 15:36:48 -0300,2026-05-28T15:36:48.714450
52598fdafa0f,ad651abd5152,main,1,2026-05-28 15:36:48 -0300,2026-05-28T15:36:49.029441
3714dd7c71ba,c15b7bf9ed74,main,1,2026-05-28 15:36:49 -0300,2026-05-28T15:36:49.346295
2649b1b02835,0bb030a0978b,main,1,2026-05-28 15:37:08 -0300,2026-05-28T15:37:08.955064
146149b1f272,1f51494c86c6,main,1,2026-05-28 15:37:09 -0300,2026-05-28T15:37:09.205649
42c99dc78af4,6716fc08dc74,main,1,2026-05-28 15:37:09 -0300,2026-05-28T15:37:09.455980
c6566b6b1452,2ef4580dc639,main,1,2026-05-28 15:37:09 -0300,2026-05-28T15:37:09.773204
ff2e8c01d051,097c88c57d44,main,1,2026-05-28 15:37:09 -0300,2026-05-28T15:37:10.095810
e5fc008014d4,30cb4e2885e9,main,1,2026-05-28 15:37:45 -0300,2026-05-28T15:37:45.526593
6438ab04d27b,0f022fc20f5a,main,1,2026-05-28 15:37:45 -0300,2026-05-28T15:37:45.777646
6747363886dd,0a6856eb094d,main,1,2026-05-28 15:37:45 -0300,2026-05-28T15:37:46.028298
1b76d74d3073,b91e703af1e0,main,1,2026-05-28 15:37:46 -0300,2026-05-28T15:37:46.348245
b7c5a07913d5,0af2d4287dc0,main,1,2026-05-28 15:37:46 -0300,2026-05-28T15:37:46.669050
4ffdc04b8bc1,aeeae82d6316,main,1,2026-05-29 04:41:35 -0300,2026-05-29T04:41:35.190769
a563d43f4431,cc068bf76148,main,1,2026-05-29 04:41:35 -0300,2026-05-29T04:41:35.448248
b72d40dbae7e,6c59e7f635c6,main,1,2026-05-29 04:41:35 -0300,2026-05-29T04:41:35.698485
415a9795f94f,89b55ef1dbde,main,1,2026-05-29 04:41:35 -0300,2026-05-29T04:41:36.021961
60f5628973d4,bd78e51e43d6,main,1,2026-05-29 04:41:36 -0300,2026-05-29T04:41:36.351686
b25b8e7ff956,4cbce477dce6,main,1,2026-05-29 05:02:31 -0300,2026-05-29T05:02:31.987485
29fe39f5c3e3,b5ebd60f5c1d,main,1,2026-05-29 05:02:32 -0300,2026-05-29T05:02:32.247507
ebb205c00277,458f5db236b0,main,1,2026-05-29 05:02:32 -0300,2026-05-29T05:02:32.504153
ad6cde7ffe97,1db4817e0843,main,1,2026-05-29 05:02:32 -0300,2026-05-29T05:02:32.832274
1d8be1552ed6,700842b31465,main,1,2026-05-29 05:02:33 -0300,2026-05-29T05:02:33.158403
fa9c7922399b,34521f9d336c,main,1,2026-05-29 16:03:45 -0300,2026-05-29T16:03:45.552826
c48080544fcd,c0853763993b,main,1,2026-05-29 16:03:45 -0300,2026-05-29T16:03:45.822787
dd7e782b5e42,3c4548755503,main,1,2026-05-29 16:03:45 -0300,2026-05-29T16:03:46.073252
db0416e5ec05,67173b50c01f,main,1,2026-05-29 16:03:46 -0300,2026-05-29T16:03:46.392102
31cc16fa55f2,a40846749360,main,1,2026-05-29 16:03:46 -0300,2026-05-29T16:03:46.724649
f6ea83804aa6,03b5ffb44ee0,main,1,2026-05-29 16:54:38 -0300,2026-05-29T16:54:38.553613
51b060e3100f,17415ce3953f,main,1,2026-05-29 16:54:38 -0300,2026-05-29T16:54:38.799876
ca869013beb1,8255ad5035df,main,1,2026-05-29 16:54:38 -0300,2026-05-29T16:54:39.055936
4df66b3233a0,20262cc684db,main,1,2026-05-29 16:54:39 -0300,2026-05-29T16:54:39.375971
b5807952aa69,4de281d71f71,main,1,2026-05-29 16:54:39 -0300,2026-05-29T16:54:39.690071
